job_title,trending_keywords
Database Engineer,"['Problem solving', 'Machine learning', 'Big data technologies', 'Data warehouse', 'NoSQL', 'Data modeling', 'Data Security', 'Cloud', 'SQL']"
Salesforce Developer,"['Automation', 'JavaScript', 'SOQL', 'Problem solving', 'Visualforce', 'Communication', 'Lightning components', 'Apex', 'SFDC']"
Power BI Developer,"['DAX', 'Problem solving', 'Communication', 'Data warehouse', 'Data visualization', 'Data modeling', 'Data analysis', 'SQL', 'Attention to detail']"
Analytics Engineer,"['ETL', 'Data transformation', 'Communication', 'Machine learning', 'Data warehouse', 'Data visualization', 'Data modeling', 'Data analysis', 'SQL']"
Robotic Process Automation Developer,"['Analytics', 'Problem solving', 'Change management', 'Communication', 'Programming Languages', 'Coding skills', 'RPA Developer', 'Business process management', 'Analytic reasoning']"
NoSQL Developer,"['ETL processes', 'DevOps practices', 'Performance tuning', 'Database management', 'Big data handling', 'Security', 'Backup and recovery', 'Data modeling', 'Cloud services']"
Web Security Engineer,"['Collaboration', 'Operating Systems', 'Incident response', 'Communication', 'Penetration testing', 'Firewall', 'Access management', 'Threat intelligence', 'Network security']"
Penetration Tester,"['Problem solving', 'Operating Systems', 'Penetration test', 'Communication', 'Scripting', 'Networking', 'Pentest tools', 'Network security', 'Security tools']"
Salesforce Administrator,"['Process automation', 'Project management', 'Problem solving', 'Business analysis', 'Communication', 'Data management', 'Security', 'Data analysis', 'User management']"
Systems Analyst,"['Project management', 'Problem solving', 'Business analysis', 'Adaptability', 'Communication', 'Technical expertise', 'Critical thinking', 'Attention to detail', 'Analytic reasoning']"
Machine Learning Researcher,"['Problem solving', 'Machine learning algorithms', 'Communication', 'Deep learning', 'Mathematical statistics', 'Programming', 'Cloud skills', 'Collaboration', 'NLP']"
Cloud Application Developer,"['Cloud security', 'Machine learning', 'Cybersecurity', 'Cloud development', 'Programming', 'Networking', 'DevOps', 'Containerization', 'Database skills']"
Blockchain Software Engineer,"['Smart contracts', 'Blockchain knowledge', 'Web development', 'Programming Languages', 'Data structure', 'Solidity', 'Data structures and algorithms', 'Blockchain architectures', 'Cryptography']"
Virtualization Engineer,"['Problem-solving skills', 'Virtualization', 'Troubleshoot', 'Linux', 'Good interpersonal skills', 'Virtual infrastructure', 'Scripting (python, powershell, etc.)', 'Networking', 'Teamwork']"
AWS Solutions Architect,"['Security and compliance', 'Problem solving', 'Storage', 'Communication', 'Collaboration and teamwork', 'Security', 'DevOps', 'Serverless', 'Time management']"
Virtualization Specialist,"['Cloud computing', 'Collaboration and communication', 'IT virtualization', 'Virtualization storage', 'Programming', 'Analytical and critical thinking', 'Virtualization automation', 'Continuous learning and adaptability', 'DevOps']"
Web Security Analyst,"['Adaptability', 'Operating Systems', 'Problem solving', 'Incident response', 'Communication', 'Networking', 'Attention to detail', 'Collaboration', 'Network security']"
Quality Control Engineer,"['Continuous improvement', 'Problem solving', 'Critical thinking and analytical skills', 'Quality assurance', 'Communication', 'Coding', 'Quality control', 'Attention to detail', 'Communication skills']"
Application Developer,"['JavaScript', 'Communication', 'User interface design', 'Teamwork and collaboration', 'Backend development', 'Testing and debugging', 'Agile development', 'Programming languages', 'Cross-platform software']"
Data Science Engineer,"['Programming language', 'Machine learning', 'Probability density function', 'Communication', 'Deep learning', 'Computing', 'Data visualization', 'Big data', 'Databases']"
Security Operations Engineer,"['Firewalls', 'Collaboration', 'Information security', 'Cloud security', 'SIEM', 'Vulnerability assessment', 'Problem-solving and analytical thinking', 'Communication skills', 'Network security']"
Data Mining Engineer,"['Python', 'Machine learning', 'Programming Languages', 'Deep learning', 'Mathematical statistics', 'Data visualization', 'Databases', 'SQL', 'Communication skills']"
Product Marketing Engineer,"['Strategic planning', 'Marketing campaigns', 'Communication', 'Storytelling', 'Go-to-market strategy', 'Creativity', 'Data analysis', 'Collaboration', 'Market research']"
Data Operations Engineer,"['Cloud computing', 'Security and compliance', 'Machine learning', 'Data warehouse', 'ETL tools', 'NoSQL', 'Communication and collaboration', 'SQL', 'Adaptability and flexibility']"
Performance Engineer,"['Performance monitoring', 'Performance analysis', 'Project management', 'Designing effective tests', 'Communication', 'Performance Engineering concepts', 'Proficiency in performance testing tools', 'Scripting', 'Computer science or related degree']"
Software Development Engineer in Test (SDET),"['Automation', 'Software Testing', 'Communication', 'Programming Languages', 'Create test plans', 'Collaboration and teamwork', 'Testing methodologies', 'Creating and developing automated testing frameworks', 'Command in programming languages']"
Junior Software Developer,"['Problem solving', 'Collaboration', 'Adaptability', 'Communication', 'Programming Languages', 'Data structure', 'Object-oriented programming', 'Debugging', 'Attention to detail']"
Junior Data Analyst,"['Problem solving', 'Collaboration', 'Data cleansing', 'Machine learning', 'Communication', 'Data management', 'Critical thinking', 'SQL', 'Attention to detail']"
Junior Web Developer,"['JavaScript', 'Back end', 'Problem solving', 'HTML5', 'Frameworks', 'CSS', 'Debugging code', 'SQL', 'jQuery']"
Junior Game Developer,"['Problem solving', 'Programming language', 'Communication', 'Adaptability and flexibility', 'Teamwork', 'AI', 'Mathematical physics', 'Analytic reasoning', 'Time management']"
Junior Frontend Developer,"['JavaScript library', 'Problem solving', 'Search engine optimization', 'Version control', 'Accessibility', 'APIs', 'Testing and debugging', 'Responsive design', 'jQuery']"
Junior Backend Developer,"['Problem solving', 'Communication', 'Version control', 'Collaboration and teamwork', 'Adaptability and flexibility', 'System integration', 'Critical thinking', 'Collaboration', 'Time management']"
Junior Cloud Developer,"['Collaboration', 'Cloud security', 'Communication', 'Programming', 'Networking', 'Containerization', 'DevOps', 'Database skills', 'Cloud platforms']"
Junior iOS Developer,"['Programming language', 'User Experience', 'Design guidelines', 'Objective-C', 'Networking', 'Grand Central Dispatch', 'Spatial ability', 'Core Data', 'Xcode']"
Junior Data Scientist,"['Problem solving', 'Communication', 'Machine learning', 'Programming', 'Data visualization', 'Big data', 'Critical thinking', 'Attention to detail', 'Statistics']"
Junior Machine Learning Engineer,"['Cloud computing', 'Domain knowledge', 'Problem solving', 'Python', 'Machine learning algorithms', 'Communication', 'Deep learning', 'Programming Languages', 'Natural language processing']"
Junior DevOps Engineer,"['Infrastructure as Code', 'Collaboration and communication', 'Configuration management', 'Continuous integration/continuous deployment (ci/cd)', 'Version control systems', 'Security', 'Cloud', 'Containerization', 'Monitoring and logging']"
Junior Database Administrator,"['Analytical skills', 'Database design', 'Problem solving', 'Automated', 'Performance tuning', 'Communication', 'Backup and recovery', 'Attention to detail', 'Time management']"
Junior Software Engineer,"['Debugging', 'Adaptability', 'Problem solving', 'Communication', 'Programming Languages', 'Object-oriented programming', 'Attention to detail', 'Collaboration', 'Time management']"
Technical Support Engineer,"['Continuous learning', 'Scripting and automation', 'Problem solving', 'Troubleshooting', 'Communication', 'Active listening', 'Analytical and technical', 'Collaboration', 'Adaptability and flexibility']"
Data Quality Engineer,"['Problem solving', 'Data governance', 'ETL', 'Machine learning', 'Programming Languages', 'Data management', 'Data visualization', 'Big data', 'Data modeling']"
Big Data Architect,"['ETL processes', 'Problem solving', 'Data governance', 'Machine learning', 'Communication', 'Programming Languages', 'Data visualization', 'NoSQL', 'Data modeling']"
Search Engine Optimization (SEO) Developer,"['Adaptability', 'Local SEO', 'Content creation and optimization', 'Link building', 'Increase SEO traffic with WordPress', 'Keyword research', 'Critical thinking', 'SEO analytics', 'Technical SEO']"
DevOps Lead,"['Automation', 'Continuous learning', 'Configuration management', 'Communication', 'Coding and scripting', 'Version control', 'Security', 'Collaboration', 'Cloud skills']"
IT Manager,"['Cloud computing', 'Project management', 'Adaptability', 'Problem solving', 'Communication skills', 'Conflict resolution', 'Data analysis', 'Leadership', 'Time management']"
